年度,期作,縣市,鄉鎮,作物代碼,作物,種植面積,收穫面積,稻穀總產量,稻穀單位產量,糙米總產量,糙米單位產量
113,二期作,屏東縣,佳冬鄉,C01 ,稉稻,3.74,3.74,11688,3125,9158,2448
113,一期作,屏東縣,里港鄉,C01 ,稉稻,34.52,34.52,256449,7429,208519,6041
113,二期作,屏東縣,里港鄉,C01 ,稉稻,8.02,8.02,34670,4323,28298,3528
113,一期作,屏東縣,長治鄉,C01 ,稉稻,23.82,23.82,189083,7938,153743,6454
113,二期作,屏東縣,長治鄉,C01 ,稉稻,14.33,14.33,59484,4151,48479,3383
113,一期作,屏東縣,萬丹鄉,C01 ,稉稻,1638.23,1638.23,10600986,6471,8536974,5211
113,二期作,屏東縣,萬丹鄉,C01 ,稉稻,35.93,35.93,135600,3774,109307,3042
113,一期作,屏東縣,萬丹鄉,C04 ,稉糯稻,16.48,16.48,106675,6473,85906,5213
113,一期作,屏東縣,萬丹鄉,C05 ,秈糯稻,50.5,50.5,326753,6470,263134,5210
113,一期作,屏東縣,九如鄉,C01 ,稉稻,160.71,160.71,1272823,7920,1051479,6543
113,二期作,屏東縣,九如鄉,C01 ,稉稻,107.79,107.79,475569,4412,388159,3601
113,一期作,屏東縣,麟洛鄉,C01 ,稉稻,5.02,5.02,35416,7055,28797,5736
113,二期作,屏東縣,麟洛鄉,C01 ,稉稻,4.1,4.1,15371,3749,12374,3018
113,一期作,台中市,大肚區,C01 ,稉稻,497.42,497.42,4141519,8326,3271800,6578
113,二期作,台中市,大肚區,C01 ,稉稻,179.9,179.9,944835,5252,736971,4097
113,一期作,台中市,龍井區,C01 ,稉稻,903.96,903.96,6447947,7133,5098392,5640
113,二期作,台中市,龍井區,C01 ,稉稻,586.4,586.4,2213074,3774,1700747,2900
113,一期作,台中市,南區,C01 ,稉稻,0.34,0.34,2736,8047,2161,6357
113,二期作,台中市,南區,C01 ,稉稻,0.17,0.17,1028,6046,802,4716
113,一期作,台中市,大安區,C01 ,稉稻,1195.82,1195.82,7683625,6425,6061612,5069
113,二期作,台中市,大安區,C01 ,稉稻,783.97,783.97,2684314,3424,1944517,2480
113,一期作,台中市,大安區,C03 ,軟秈稻,25,25,175435,7017,134507,5380
113,二期作,台中市,大安區,C03 ,軟秈稻,5,5,16990,3398,11919,2384
113,一期作,台中市,大安區,C04 ,稉糯稻,3,3,19893,6631,15648,5216
113,二期作,台中市,大安區,C04 ,稉糯稻,5,5,16455,3291,11765,2353
113,一期作,台中市,烏日區,C01 ,稉稻,833,833,6688157,8029,5283644,6343
113,二期作,台中市,烏日區,C01 ,稉稻,697.3,697.3,4328838,6208,3376494,4842
113,一期作,台中市,大里區,C01 ,稉稻,198.58,198.58,1666682,8393,1316679,6630
113,二期作,台中市,大里區,C01 ,稉稻,193,193,1265501,6557,987091,5114
113,一期作,台中市,南屯區,C01 ,稉稻,157.63,157.63,1217061,7721,961478,6100
113,二期作,台中市,南屯區,C01 ,稉稻,134.98,134.98,761422,5641,593909,4400
113,一期作,台中市,霧峰區,C01 ,稉稻,1072.98,1072.98,7330599,6832,5798504,5404
113,二期作,台中市,霧峰區,C01 ,稉稻,1055.51,1055.51,6320394,5988,4902730,4645
113,一期作,台中市,西屯區,C01 ,稉稻,220.43,220.43,1471370,6675,1161499,5269
113,二期作,台中市,西屯區,C01 ,稉稻,210.4,210.4,1152782,5479,899170,4274
113,一期作,台中市,太平區,C01 ,稉稻,5.72,5.72,40732,7121,32178,5626
113,二期作,台中市,太平區,C01 ,稉稻,3.13,3.13,18664,5963,14558,4651
113,一期作,台中市,豐原區,C01 ,稉稻,119.74,119.74,786576,6569,627452,5240
113,二期作,台中市,豐原區,C01 ,稉稻,82.5,82.5,444758,5391,337172,4087
113,一期作,台中市,豐原區,C04 ,稉糯稻,3,3,26454,8818,20370,6790
113,二期作,台中市,豐原區,C04 ,稉糯稻,3,3,15318,5106,11520,3840
113,一期作,台中市,北屯區,C01 ,稉稻,19.12,18.99,127936,6737,101069,5322
113,二期作,台中市,北屯區,C01 ,稉稻,13.59,13.59,73522,5410,57347,4220
113,一期作,台中市,石岡區,C01 ,稉稻,0.19,0.19,1346,7084,1072,5645
113,一期作,台中市,外埔區,C01 ,稉稻,1261.99,1261.99,9865902,7818,7802941,6183
113,二期作,台中市,外埔區,C01 ,稉稻,922.81,922.81,4959181,5374,3825513,4146
113,一期作,台中市,外埔區,C04 ,稉糯稻,28,28,216660,7738,169341,6048
113,二期作,台中市,外埔區,C04 ,稉糯稻,14,14,74299,5307,56810,4058
113,一期作,台中市,清水區,C01 ,稉稻,1161.74,1161.74,7578689,6524,5940934,5114
113,二期作,台中市,清水區,C01 ,稉稻,881.46,881.46,3058667,3470,2334681,2649
113,一期作,台中市,清水區,C04 ,稉糯稻,3.85,3.85,25620,6655,20084,5217
113,二期作,台中市,清水區,C04 ,稉糯稻,3,3,9525,3175,6963,2321
113,一期作,台中市,大甲區,C01 ,稉稻,1870.84,1870.84,12631544,6752,9946078,5317
113,二期作,台中市,大甲區,C01 ,稉稻,1231.75,1231.75,4918378,3993,3725671,3025
113,一期作,台中市,大甲區,C02 ,硬秈稻,8.5,8.5,70111,8248,54238,6381
113,二期作,台中市,大甲區,C02 ,硬秈稻,5.7,5.7,22043,3867,16513,2897
