年度,期作,縣市,鄉鎮,作物代碼,作物,種植面積,收穫面積,稻穀總產量,稻穀單位產量,糙米總產量,糙米單位產量
113,一期作,桃園市,大溪區,C01 ,稉稻,530.11,530.11,2976568,5615,2422926,4571
113,二期作,桃園市,大溪區,C01 ,稉稻,164.81,164.81,576505,3498,469275,2847
113,一期作,桃園市,八德區,C01 ,稉稻,455.34,455.34,2951059,6481,2408064,5288
113,二期作,桃園市,八德區,C01 ,稉稻,161.31,161.31,447958,2777,349407,2166
113,一期作,桃園市,龍潭區,C01 ,稉稻,287.97,287.97,1743082,6053,1401438,4867
113,二期作,桃園市,龍潭區,C01 ,稉稻,99.78,99.78,364796,3656,296214,2969
113,一期作,桃園市,大園區,C01 ,稉稻,863.83,863.83,5054707,5852,4089258,4734
113,二期作,桃園市,大園區,C01 ,稉稻,27.1,27.1,83034,3064,65680,2424
113,一期作,桃園市,大園區,C02 ,硬秈稻,20,20,106860,5343,86450,4322
113,一期作,桃園市,龜山區,C01 ,稉稻,41,41,219309,5349,176039,4294
113,二期作,桃園市,龜山區,C01 ,稉稻,1.17,1.17,3048,2605,2390,2043
113,一期作,桃園市,觀音區,C01 ,稉稻,1645.99,1645.99,9268570,5631,7567787,4598
113,二期作,桃園市,觀音區,C01 ,稉稻,98.24,98.24,351601,3579,281281,2863
113,一期作,桃園市,觀音區,C02 ,硬秈稻,30,30,154530,5151,126174,4206
113,一期作,桃園市,觀音區,C03 ,軟秈稻,14,14,76272,5448,62276,4448
113,一期作,桃園市,觀音區,C04 ,稉糯稻,17,17,88791,5223,72498,4265
113,一期作,桃園市,桃園區,C01 ,稉稻,166.32,166.32,945363,5684,767635,4615
113,二期作,桃園市,桃園區,C01 ,稉稻,33.55,33.55,93235,2779,72910,2173
113,一期作,桃園市,新屋區,C01 ,稉稻,3632.76,3632.76,21545900,5931,17402623,4790
113,二期作,桃園市,新屋區,C01 ,稉稻,497.93,497.93,1835868,3687,1446664,2905
113,一期作,桃園市,平鎮區,C01 ,稉稻,549.92,549.92,2952554,5369,2344328,4263
113,二期作,桃園市,平鎮區,C01 ,稉稻,94.85,94.85,321731,3392,257127,2711
113,一期作,桃園市,平鎮區,C03 ,軟秈稻,16,16,76816,4801,60992,3812
113,一期作,宜蘭縣,宜蘭市,C01 ,稉稻,910.28,910.28,6291855,6912,4926522,5412
113,一期作,宜蘭縣,宜蘭市,C03 ,軟秈稻,50,50,344640,6893,269854,5397
113,一期作,宜蘭縣,羅東鎮,C01 ,稉稻,275.41,275.41,1700657,6175,1358995,4934
113,一期作,宜蘭縣,羅東鎮,C03 ,軟秈稻,40,40,246684,6167,197125,4928
113,一期作,宜蘭縣,蘇澳鎮,C01 ,稉稻,249.04,249.04,1483033,5955,1210155,4859
113,一期作,宜蘭縣,蘇澳鎮,C03 ,軟秈稻,73.9,73.9,439429,5946,358574,4852
113,一期作,宜蘭縣,頭城鎮,C01 ,稉稻,248,248,1620928,6536,1253950,5056
113,一期作,宜蘭縣,頭城鎮,C03 ,軟秈稻,10,10,65140,6514,50392,5039
113,一期作,宜蘭縣,頭城鎮,C05 ,秈糯稻,2,2,13032,6516,10082,5041
113,一期作,宜蘭縣,三星鄉,C01 ,稉稻,1894.2,1894.2,11302691,5967,8384336,4426
113,一期作,宜蘭縣,三星鄉,C03 ,軟秈稻,270.3,270.3,1596932,5908,1184604,4383
113,一期作,宜蘭縣,三星鄉,C04 ,稉糯稻,35.1,35.1,207793,5920,154141,4391
113,一期作,宜蘭縣,大同鄉,C01 ,稉稻,8.71,8.71,53871,6185,42558,4886
113,一期作,宜蘭縣,五結鄉,C01 ,稉稻,1034.23,1034.23,7112400,6877,5526335,5343
113,一期作,宜蘭縣,五結鄉,C03 ,軟秈稻,20,20,137020,6851,106465,5323
113,一期作,宜蘭縣,五結鄉,C04 ,稉糯稻,20,20,136985,6849,106437,5322
113,一期作,宜蘭縣,礁溪鄉,C01 ,稉稻,1228.62,1228.62,8983669,7312,6959648,5665
113,一期作,宜蘭縣,礁溪鄉,C03 ,軟秈稻,110,110,802783,7298,621916,5654
113,一期作,宜蘭縣,礁溪鄉,C04 ,稉糯稻,30,30,218160,7272,169009,5634
113,一期作,宜蘭縣,壯圍鄉,C01 ,稉稻,1891.46,1891.46,12033469,6362,9419800,4980
113,一期作,宜蘭縣,壯圍鄉,C03 ,軟秈稻,5,5,31825,6365,24913,4983
113,一期作,宜蘭縣,壯圍鄉,C04 ,稉糯稻,2,2,12709,6355,9948,4974
113,一期作,宜蘭縣,員山鄉,C01 ,稉稻,1057.41,1057.41,6696578,6333,5001004,4729
113,一期作,宜蘭縣,員山鄉,C03 ,軟秈稻,10,10,63330,6333,47295,4729
113,一期作,宜蘭縣,冬山鄉,C01 ,稉稻,1610.65,1610.65,10324260,6410,8209852,5097
113,一期作,宜蘭縣,冬山鄉,C03 ,軟秈稻,27.89,27.89,180420,6469,143470,5144
113,一期作,雲林縣,東勢鄉,C01 ,稉稻,495.56,495.56,4176294,8427,3294561,6648
113,一期作,雲林縣,東勢鄉,C02 ,硬秈稻,5,5,36425,7285,28047,5609
113,一期作,雲林縣,東勢鄉,C03 ,軟秈稻,100,100,847600,8476,644176,6442
113,一期作,雲林縣,虎尾鎮,C01 ,稉稻,1448.42,1448.42,12552234,8666,9920720,6849
113,二期作,雲林縣,虎尾鎮,C01 ,稉稻,749.59,749.59,3711366,4951,2876368,3837
113,二期作,雲林縣,虎尾鎮,C02 ,硬秈稻,13.37,13.37,63548,4753,48932,3660
113,二期作,雲林縣,虎尾鎮,C03 ,軟秈稻,8.33,8.33,42841,5143,32988,3960
113,一期作,雲林縣,虎尾鎮,C04 ,稉糯稻,31.63,31.63,230551,7289,182135,5758
113,二期作,雲林縣,虎尾鎮,C04 ,稉糯稻,36.42,36.42,199654,5482,155730,4276
113,一期作,雲林縣,虎尾鎮,C05 ,秈糯稻,17.32,17.32,148502,8574,112862,6516
113,二期作,雲林縣,虎尾鎮,C05 ,秈糯稻,17.38,17.38,89889,5172,68316,3931
113,一期作,雲林縣,斗南鎮,C01 ,稉稻,1406.39,1406.39,10340402,7352,8216503,5842
113,二期作,雲林縣,斗南鎮,C01 ,稉稻,1340,1340,7141245,5329,5565259,4153
113,一期作,雲林縣,斗南鎮,C04 ,稉糯稻,225,225,1640025,7289,1295620,5758
113,二期作,雲林縣,斗南鎮,C04 ,稉糯稻,210,210,1151220,5482,897952,4276
113,一期作,雲林縣,斗南鎮,C05 ,秈糯稻,185,185,1586190,8574,1205504,6516
113,二期作,雲林縣,斗南鎮,C05 ,秈糯稻,185,185,956820,5172,727183,3931
113,一期作,雲林縣,麥寮鄉,C01 ,稉稻,1205.47,1205.47,9227873,7655,7309398,6064
113,二期作,雲林縣,麥寮鄉,C01 ,稉稻,1.94,1.94,8905,4590,7035,3626
113,一期作,雲林縣,臺西鄉,C01 ,稉稻,62.77,62.77,383336,6107,299002,4763
113,一期作,雲林縣,臺西鄉,C03 ,軟秈稻,201.11,201.11,1603417,7973,1236162,6147
113,一期作,雲林縣,土庫鎮,C01 ,稉稻,928.76,928.76,8113184,8736,6420166,6913
113,二期作,雲林縣,土庫鎮,C01 ,稉稻,131.91,131.91,731045,5542,577526,4378
113,一期作,雲林縣,土庫鎮,C04 ,稉糯稻,45,45,328005,7289,259124,5758
113,一期作,雲林縣,土庫鎮,C05 ,秈糯稻,20,20,150860,7543,116162,5808
113,一期作,雲林縣,西螺鎮,C01 ,稉稻,1289.37,1289.37,10517804,8157,8313162,6447
113,二期作,雲林縣,西螺鎮,C01 ,稉稻,1125.88,1125.88,6495202,5769,4979222,4423
113,一期作,雲林縣,西螺鎮,C05 ,秈糯稻,20,20,136540,6827,103770,5189
113,一期作,雲林縣,褒忠鄉,C01 ,稉稻,492.39,492.39,4369469,8874,3503440,7115
113,二期作,雲林縣,褒忠鄉,C01 ,稉稻,2.35,2.35,11238,4782,8878,3778
113,一期作,雲林縣,林內鄉,C01 ,稉稻,647.95,647.95,5948181,9180,4616383,7125
113,二期作,雲林縣,林內鄉,C01 ,稉稻,561.51,561.51,2746345,4891,2169613,3864
113,一期作,雲林縣,水林鄉,C01 ,稉稻,2948.32,2948.32,24686283,8373,19502164,6615
113,二期作,雲林縣,水林鄉,C01 ,稉稻,4.98,4.98,23192,4657,18322,3679
113,一期作,雲林縣,斗六市,C01 ,稉稻,1095.17,1095.17,9512647,8686,7514991,6862
113,二期作,雲林縣,斗六市,C01 ,稉稻,1164.83,1164.83,7093521,6090,5522213,4741
113,一期作,雲林縣,斗六市,C04 ,稉糯稻,12.5,12.5,91113,7289,71979,5758
113,二期作,雲林縣,斗六市,C04 ,稉糯稻,28.7,28.7,157333,5482,122720,4276
113,一期作,雲林縣,斗六市,C05 ,秈糯稻,189.5,189.5,1435157,7573,1109489,5855
113,二期作,雲林縣,斗六市,C05 ,秈糯稻,1.5,1.5,7758,5172,5896,3931
113,一期作,雲林縣,崙背鄉,C01 ,稉稻,1830.27,1830.27,15787909,8626,12472448,6815
113,二期作,雲林縣,崙背鄉,C01 ,稉稻,255.52,255.52,1242594,4863,981649,3842
113,一期作,雲林縣,二崙鄉,C01 ,稉稻,1726.46,1726.46,14184595,8216,11201575,6488
113,二期作,雲林縣,二崙鄉,C01 ,稉稻,1100,1100,6130300,5573,4842937,4403
113,一期作,雲林縣,四湖鄉,C01 ,稉稻,463.99,463.99,3628119,7819,2887277,6223
113,一期作,雲林縣,四湖鄉,C03 ,軟秈稻,32.2,32.2,272927,8476,210154,6527
113,一期作,雲林縣,古坑鄉,C01 ,稉稻,46.77,46.77,376265,8045,303382,6487
113,二期作,雲林縣,古坑鄉,C01 ,稉稻,46.64,46.64,260391,5583,205709,4411
113,一期作,雲林縣,北港鎮,C01 ,稉稻,1086.26,1086.26,8842972,8141,6992738,6437
113,二期作,雲林縣,北港鎮,C01 ,稉稻,41,41,203707,4968,161204,3932
113,一期作,雲林縣,北港鎮,C05 ,秈糯稻,20,20,136540,6827,103770,5189
113,二期作,雲林縣,北港鎮,C05 ,秈糯稻,2.23,2.23,9201,4126,6993,3136
113,一期作,雲林縣,元長鄉,C01 ,稉稻,2256,2256,18298949,8111,14465579,6412
113,二期作,雲林縣,元長鄉,C01 ,稉稻,79,79,457999,5797,362651,4591
113,二期作,雲林縣,元長鄉,C03 ,軟秈稻,5,5,25715,5143,19543,3909
113,一期作,雲林縣,元長鄉,C04 ,稉糯稻,95,95,836190,8802,660590,6954
113,二期作,雲林縣,元長鄉,C04 ,稉糯稻,1.08,1.08,5921,5482,4618,4276
113,一期作,雲林縣,元長鄉,C05 ,秈糯稻,45.94,45.94,313632,6827,238360,5189
113,一期作,雲林縣,莿桐鄉,C01 ,稉稻,1792.57,1792.57,14055285,7841,11105343,6195
113,二期作,雲林縣,莿桐鄉,C01 ,稉稻,1601.7,1601.7,8460208,5282,6690435,4177
113,一期作,雲林縣,莿桐鄉,C03 ,軟秈稻,3,3,25428,8476,19325,6442
113,二期作,雲林縣,莿桐鄉,C03 ,軟秈稻,3,3,15429,5143,11726,3909
113,一期作,雲林縣,莿桐鄉,C04 ,稉糯稻,119,119,867391,7289,685239,5758
113,二期作,雲林縣,莿桐鄉,C04 ,稉糯稻,111,111,615939,5549,480432,4328
113,一期作,雲林縣,莿桐鄉,C05 ,秈糯稻,4,4,30172,7543,22931,5733
113,二期作,雲林縣,莿桐鄉,C05 ,秈糯稻,3,3,12378,4126,9531,3177
113,一期作,雲林縣,大埤鄉,C01 ,稉稻,2288.12,2288.12,18064384,7895,14272746,6238
113,二期作,雲林縣,大埤鄉,C01 ,稉稻,2089.8,2089.8,12876756,6162,10050534,4809
113,一期作,雲林縣,大埤鄉,C04 ,稉糯稻,468.29,468.29,3413366,7289,2696559,5758
113,二期作,雲林縣,大埤鄉,C04 ,稉糯稻,349.26,349.26,1938044,5549,1511674,4328
113,一期作,雲林縣,大埤鄉,C05 ,秈糯稻,7.32,7.32,62762,8574,47699,6516
113,二期作,雲林縣,大埤鄉,C05 ,秈糯稻,8.77,8.77,36185,4126,27501,3136
113,一期作,雲林縣,口湖鄉,C01 ,稉稻,351.51,351.51,2485176,7070,1945147,5534

